RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
13,Patrick Beverley,Lac,G,32.25,8,20.8,43.3,12.6,14.7,4,0.5,17,0.706,22,0.364,0.615,0.613,6.3,4.1,11.1,2.4,15.7,1.0,0.38,0.88,7.6,123.7,90.7
14,Khem Birch,Orl,C,28.04,5,17.9,37.3,11.4,21.0,11,0.909,14,0.5,0,0.0,0.5,0.637,4.8,5.0,14.3,1.4,11.2,0.2,0.0,1.0,7.2,124.9,100.3
15,Eric Bledsoe,Mil,G,30.84,9,29.7,61.8,21.3,17.4,26,0.8079999999999999,66,0.455,32,0.25,0.429,0.48,11.7,4.6,8.2,5.9,29.0,1.22,0.67,2.56,9.2,99.6,98.9
16,Bol Bol,Den,C-F,20.9,4,5.4,11.1,30.9,13.8,8,0.875,6,0.5,3,0.667,0.667,0.759,4.8,1.3,13.9,0.0,0.0,0.5,0.5,0.5,0.0,135.6,108.1
17,Chris Boucher,Tor,F-C,27.75,7,6.1,12.7,12.9,8.0,1,0.0,6,0.16699999999999998,5,0.4,0.364,0.35,1.1,1.7,15.2,0.1,3.2,0.0,0.29,0.14,3.7,83.6,96.3
18,Tony Bradley,Uta,C-F,22.67,6,8.1,16.8,15.5,24.9,7,0.7140000000000001,9,0.222,0,0.0,0.222,0.373,1.5,3.8,27.8,0.2,2.7,0.33,0.33,0.67,5.2,94.6,100.1
19,Jarrell Brantley,Uta,F,24.35,2,6.5,13.4,25.0,14.5,2,0.5,2,0.0,3,0.0,0.0,0.085,0.5,2.0,18.2,1.0,18.9,0.0,0.5,0.5,6.2,62.5,83.0
20,Malcolm Brogdon,Ind,G,27.83,4,40.0,83.2,25.1,11.5,28,0.893,41,0.415,24,0.375,0.469,0.556,21.5,4.3,6.2,10.0,41.9,1.0,0.0,2.5,9.7,117.8,107.4
21,Jaylen Brown,Bos,F-G,23.97,17,39.5,82.4,23.7,11.5,63,0.841,168,0.56,120,0.358,0.55,0.586,21.8,7.5,10.6,2.3,9.9,1.53,0.53,2.41,7.3,110.6,102.7
22,Sterling Brown,Mil,G-F,25.67,1,3.6,7.5,12.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,,
23,Trey Burke,Dal,G,27.91,6,26.1,54.3,19.1,8.6,10,0.6,42,0.524,17,0.47100000000000003,0.5760000000000001,0.584,12.3,3.2,6.6,2.0,11.4,1.33,0.33,1.0,6.6,113.7,105.4
24,Alec Burks,Phi,G,29.23,4,23.7,49.4,25.7,5.4,9,0.778,33,0.39399999999999996,16,0.188,0.35700000000000004,0.397,10.5,3.8,8.5,1.8,14.1,0.25,0.75,0.75,7.0,92.4,108.2
25,Deonte Burton,Okc,G-F,26.7,1,2.1,4.4,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
26,Jimmy Butler,Mia,F,31.08,21,38.4,80.0,24.6,13.5,191,0.8590000000000001,252,0.512,43,0.349,0.514,0.616,22.2,6.5,9.7,6.0,26.3,1.95,0.67,2.81,9.9,123.1,107.8
27,Bruno Caboclo,Hou,F,25.06,2,3.3,6.9,13.6,0.0,0,0.0,1,1.0,1,0.0,0.5,0.5,1.0,1.5,25.3,0.0,0.0,0.5,0.0,0.0,0.0,,
28,Kentavious Caldwell-Pope,Lal,G,27.65,21,29.0,60.3,15.5,6.9,27,0.815,70,0.486,119,0.37799999999999995,0.537,0.56,10.7,2.1,4.3,1.3,6.3,1.0,0.19,0.71,4.2,112.3,106.2
29,DeMarre Carroll,Hou,F,34.21,2,2.9,6.0,15.5,0.0,0,0.0,2,0.5,0,0.0,0.5,0.5,1.0,1.5,28.8,0.5,28.7,0.0,0.0,0.0,12.5,,
30,Alex Caruso,Lal,G,26.62,21,24.3,50.6,13.4,19.7,30,0.8,52,0.596,61,0.27899999999999997,0.5,0.5429999999999999,6.5,2.3,5.6,2.8,15.2,1.1,0.57,1.48,5.7,106.2,100.8
31,Chris Chiozza,Bro,G,24.89,4,16.2,33.6,18.3,10.4,4,0.5,8,0.375,16,0.313,0.43799999999999994,0.446,5.8,1.5,4.7,4.3,41.7,1.25,0.0,0.75,8.3,109.0,100.9
32,Gary Clark,Orl,F,25.9,5,28.7,59.8,11.1,5.4,5,0.8,1,0.0,32,0.344,0.5,0.526,7.4,5.6,10.0,1.4,7.0,1.0,0.4,0.4,5.4,113.2,107.1
33,Jordan Clarkson,Uta,G,28.35,7,28.6,59.6,25.3,6.5,10,1.0,48,0.583,49,0.34700000000000003,0.552,0.5770000000000001,16.7,3.4,7.0,2.1,12.6,0.86,0.0,1.0,6.9,114.6,106.0
34,Chris Clemons,Hou,G,23.22,2,4.1,8.5,32.1,0.0,2,0.5,0,0.0,5,0.4,0.6,0.595,3.5,1.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,116.1,112.7
35,Antonius Cleveland,Dal,G,26.7,2,4.6,9.5,23.6,0.0,0,0.0,5,0.4,0,0.0,0.4,0.4,2.0,0.5,6.0,0.0,0.0,0.5,0.0,0.0,0.0,93.7,102.6
36,Amir Coffey,Lac,G-F,23.32,3,2.3,4.8,24.6,0.0,2,1.0,2,0.0,1,0.0,0.0,0.258,0.7,0.0,0.0,1.3,68.5,0.33,0.0,0.0,0.0,,
37,Mike Conley,Uta,G,33.0,5,33.0,68.7,22.3,6.4,22,0.8640000000000001,30,0.433,34,0.529,0.625,0.672,19.8,2.8,5.0,5.2,25.0,1.6,0.2,1.0,8.0,140.7,107.5
38,Pat Connaughton,Mil,G,27.76,10,17.1,35.6,10.3,12.2,2,1.0,12,0.583,23,0.348,0.5429999999999999,0.557,4.0,3.9,12.2,1.1,8.7,0.2,0.2,0.5,6.0,112.3,99.7
39,Quinn Cook,Lal,G,27.56,6,4.1,8.4,20.5,8.7,1,1.0,6,0.5,4,0.5,0.6,0.623,2.2,0.2,2.4,0.8,31.7,0.0,0.0,0.17,6.9,129.7,111.6
40,Tyler Cook,Den,F,23.05,1,4.2,8.8,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,2.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,,108.3
41,Robert Covington,Hou,F,29.83,12,31.6,65.7,13.0,10.9,7,0.857,27,0.48100000000000004,68,0.5,0.674,0.6829999999999999,11.2,5.0,8.8,1.4,6.9,2.5,1.08,1.0,5.4,125.8,98.8
42,Torrey Craig,Den,F,29.81,19,19.8,41.2,11.3,9.7,13,0.6920000000000001,36,0.611,42,0.262,0.494,0.514,4.5,3.3,9.8,0.7,4.8,0.37,0.37,0.47,4.4,105.8,103.9
43,Jae Crowder,Mia,F,30.27,21,31.4,65.5,16.2,6.3,46,0.7609999999999999,40,0.65,161,0.342,0.54,0.57,12.0,5.6,10.2,1.9,9.0,0.67,0.57,0.71,6.4,114.0,104.2
44,Seth Curry,Dal,G,30.14,6,28.8,60.0,15.7,12.7,5,1.0,32,0.6559999999999999,21,0.47600000000000003,0.679,0.6970000000000001,12.8,1.8,3.5,1.3,6.8,1.0,0.0,1.33,4.3,122.2,108.9
45,Troy Daniels,Den,F,29.24,6,5.0,10.5,19.4,0.0,2,0.5,6,0.5,6,0.5,0.625,0.621,2.7,0.5,5.9,0.3,10.9,0.0,0.0,0.0,5.9,131.5,112.9
46,Anthony Davis,Lal,F-C,27.59,21,36.6,76.3,27.8,10.8,179,0.8320000000000001,299,0.609,60,0.38299999999999995,0.603,0.665,27.7,9.7,15.6,3.5,16.1,1.24,1.43,2.52,10.7,127.8,102.0
47,Terence Davis,Tor,G,23.41,6,14.0,29.1,20.0,15.8,7,1.0,10,0.6,19,0.42100000000000004,0.621,0.67,7.2,2.2,8.4,1.2,13.2,0.17,0.0,1.0,7.6,118.1,96.7
48,Hamidou Diallo,Okc,G,22.2,3,8.4,17.6,27.4,12.4,7,0.5710000000000001,6,0.5,5,0.2,0.409,0.462,4.3,2.0,12.4,0.3,6.6,0.0,0.67,0.67,6.5,92.5,113.0
49,Donte DiVincenzo,Mil,G,23.7,10,16.5,34.4,18.2,14.3,20,0.65,30,0.5329999999999999,21,0.33299999999999996,0.52,0.552,6.6,3.2,10.4,1.2,10.6,0.7,0.3,1.0,7.1,106.5,93.1
50,Luka Doncic,Dal,G-F,21.62,6,35.8,74.5,37.5,16.6,64,0.6559999999999999,84,0.5710000000000001,44,0.364,0.563,0.596,31.0,9.8,15.0,8.7,42.9,1.17,0.5,5.17,15.4,112.1,103.7
51,Luguentz Dort,Okc,G,21.48,6,29.2,60.7,24.1,15.4,15,0.5329999999999999,26,0.5379999999999999,50,0.26,0.441,0.45399999999999996,12.5,3.7,6.6,1.0,5.7,0.33,1.0,2.5,4.9,82.3,98.9
