RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
113,Furkan Korkmaz,Phi,G-F,23.22,4,10.1,21.0,12.1,17.9,5,0.6,1,0.0,6,0.0,0.0,0.163,0.8,1.5,8.0,0.5,7.2,0.25,0.0,0.5,3.3,41.3,105.7
114,Kyle Korver,Mil,G-F,39.57,10,11.9,24.8,20.0,9.1,7,1.0,10,0.5,37,0.405,0.585,0.619,6.2,0.9,4.1,0.1,1.3,0.2,0.2,0.5,2.8,110.5,102.0
115,Rodions Kurucs,Bro,F,22.68,4,14.6,30.4,16.8,12.6,2,0.0,12,0.917,8,0.0,0.55,0.527,5.5,3.3,11.2,0.8,9.1,0.25,0.5,0.75,6.7,99.3,97.0
116,Kyle Kuzma,Lal,F,25.22,21,23.0,48.0,19.5,9.7,37,0.784,96,0.531,83,0.313,0.503,0.535,10.0,3.1,7.9,0.8,5.0,0.29,0.33,1.0,5.1,104.8,102.6
117,Romeo Langford,Bos,G-F,20.97,7,6.5,13.6,12.5,15.5,2,0.5,8,0.375,2,0.5,0.45,0.46,1.4,0.4,3.7,0.3,6.2,0.14,0.0,0.29,3.4,85.4,104.6
118,Vic Law,Orl,F,24.81,1,3.6,7.5,11.9,0.0,0,0.0,0,0.0,1,1.0,1.5,1.5,3.0,2.0,28.5,1.0,55.9,0.0,0.0,0.0,20.2,,
119,Kawhi Leonard,Lac,F,29.29,13,39.3,81.9,29.4,9.6,94,0.862,195,0.5489999999999999,73,0.32899999999999996,0.534,0.593,28.2,9.3,13.2,5.5,23.9,2.31,0.85,2.54,11.5,120.1,102.6
120,Meyers Leonard,Mia,C,28.62,3,10.3,21.4,13.1,0.0,2,1.0,4,0.75,4,0.5,0.75,0.7879999999999999,4.7,0.3,1.9,1.0,15.8,0.33,0.0,0.0,4.4,163.9,101.9
121,Caris LeVert,Bro,G,26.13,4,34.9,72.7,28.6,13.4,25,0.72,52,0.34600000000000003,21,0.429,0.43200000000000005,0.48200000000000004,20.3,5.8,8.3,9.5,48.5,1.25,0.25,3.25,11.9,106.9,108.7
122,Damian Lillard,Por,G,30.24,4,35.7,74.3,27.0,15.1,33,0.97,31,0.419,33,0.39399999999999996,0.508,0.618,24.3,3.5,5.2,4.3,19.8,0.5,0.25,3.5,8.0,116.3,118.6
123,Brook Lopez,Mil,C,32.53,10,32.8,68.3,17.7,8.9,20,0.75,61,0.6559999999999999,53,0.396,0.627,0.643,15.8,5.5,9.0,0.5,2.4,1.0,1.3,1.2,4.3,120.0,99.4
124,Robin Lopez,Mil,C,32.53,3,6.9,14.3,8.4,0.0,0,0.0,4,0.75,0,0.0,0.75,0.75,2.0,1.3,10.4,0.0,0.0,0.0,0.0,0.0,0.0,145.2,97.8
125,Kyle Lowry,Tor,G,34.55,11,37.6,78.2,21.6,13.8,60,0.8,76,0.513,72,0.319,0.49700000000000005,0.5589999999999999,17.7,6.5,9.4,5.8,23.9,1.73,0.73,2.55,9.3,111.8,97.6
126,Timothe Luwawu-Cabarrot,Bro,G-F,25.43,4,32.9,68.4,22.7,11.1,12,0.917,20,0.35,39,0.33299999999999996,0.449,0.498,16.0,3.8,5.8,1.5,7.6,0.75,0.0,2.0,5.5,95.3,103.6
127,Terance Mann,Lac,G-F,23.98,13,2.1,4.4,11.2,28.6,0,0.0,3,0.667,2,0.0,0.4,0.4,0.3,0.5,14.3,0.1,4.7,0.08,0.0,0.15,4.7,,
128,Boban Marjanovic,Dal,C,32.16,6,13.7,28.5,19.4,8.1,9,0.778,29,0.586,1,0.0,0.5670000000000001,0.604,6.8,5.8,23.3,0.8,9.3,0.0,0.33,0.5,9.2,123.1,99.9
129,Jeremiah Martin,Bro,G,24.31,3,9.0,18.7,25.2,12.2,1,1.0,9,0.111,5,0.6,0.39299999999999996,0.41600000000000004,4.0,1.0,5.6,1.3,24.5,0.0,0.33,0.67,7.7,87.8,108.1
130,Frank Mason,Mil,G,26.53,2,1.1,2.2,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.5,57.6,0.0,0.0,0.0,0.0,,
131,Wesley Matthews,Mil,G,34.0,10,24.6,51.3,12.0,10.2,10,0.7,14,0.5,43,0.395,0.57,0.586,7.2,1.8,3.9,0.9,5.0,0.9,0.4,0.7,3.7,112.5,100.6
132,CJ McCollum,Por,G,29.06,5,39.2,81.8,26.3,12.1,22,0.682,64,0.484,35,0.371,0.51,0.534,23.2,5.8,7.8,3.2,14.6,1.2,0.4,3.0,7.7,102.4,114.1
133,T.J. McConnell,Ind,G,28.55,3,9.3,19.4,17.9,18.4,2,0.5,8,0.375,0,0.0,0.375,0.39399999999999996,2.3,2.0,12.5,2.3,38.3,0.0,0.0,0.67,9.4,91.8,96.6
134,Doug McDermott,Ind,F,28.77,4,13.6,28.3,13.5,6.3,0,0.0,5,0.4,10,0.2,0.33299999999999996,0.33299999999999996,2.5,0.8,3.2,0.3,2.7,0.25,0.0,0.25,2.5,67.8,110.2
135,JaVale McGee,Lal,C-F,32.73,14,9.7,20.1,13.5,21.5,2,0.5,30,0.667,2,0.0,0.625,0.623,2.9,3.1,19.2,0.5,7.3,0.14,0.71,0.64,6.8,113.3,93.0
136,Rodney McGruder,Lac,G,29.21,5,3.1,6.5,14.0,0.0,0,0.0,2,0.5,3,0.667,0.8,0.8,1.6,0.8,14.2,0.4,19.5,0.0,0.0,0.0,10.3,,
137,Ben McLemore,Hou,G,27.67,11,11.8,24.5,14.9,7.0,0,0.0,4,0.25,36,0.389,0.55,0.55,4.0,1.0,4.7,0.5,7.0,0.36,0.0,0.27,4.3,109.5,109.5
138,Khris Middleton,Mil,F,29.17,10,35.5,74.0,28.4,14.5,46,0.826,115,0.41700000000000004,65,0.354,0.45799999999999996,0.507,20.3,6.9,10.4,6.0,26.9,1.1,0.2,3.4,10.6,99.9,94.2
139,Malcolm Miller,Tor,G-F,27.6,1,5.3,11.0,25.0,0.0,0,0.0,2,0.0,1,1.0,0.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.8,74.3
140,Paul Millsap,Den,F,35.67,19,24.2,50.4,16.5,15.0,54,0.7959999999999999,74,0.43200000000000005,44,0.341,0.462,0.536,8.0,4.7,11.5,1.2,7.1,0.63,0.47,1.32,5.9,105.9,104.4
141,Shake Milton,Phi,G-F,24.04,4,31.5,65.6,18.3,11.3,7,0.857,19,0.579,25,0.4,0.591,0.616,14.5,3.3,5.5,2.8,16.6,0.5,0.0,1.5,6.5,116.6,104.4
142,Donovan Mitchell,Uta,G,24.09,7,37.7,78.5,37.5,13.7,58,0.948,93,0.5379999999999999,64,0.516,0.634,0.696,36.3,5.0,7.8,4.9,25.6,1.0,0.29,4.14,10.2,125.4,109.8
143,Juwan Morgan,Uta,F,23.49,7,12.3,25.7,8.5,6.4,6,0.33299999999999996,2,0.5,10,0.2,0.33299999999999996,0.342,1.4,3.0,14.2,0.7,7.4,0.29,0.0,0.14,4.7,101.7,99.0
144,Marcus Morris Sr.,Lac,F,31.11,13,29.9,62.2,14.2,7.1,14,0.929,52,0.5379999999999999,59,0.475,0.631,0.653,11.8,4.8,9.0,1.6,7.7,0.85,0.08,0.69,6.0,129.4,101.3
145,Markieff Morris,Lal,F,31.11,21,18.4,38.2,13.4,14.3,9,0.778,29,0.517,69,0.42,0.597,0.608,5.9,3.0,9.8,1.0,7.0,0.29,0.14,0.81,5.7,112.2,97.5
146,Monte Morris,Den,G,25.29,19,21.4,44.5,17.7,6.3,34,0.8240000000000001,93,0.581,40,0.3,0.541,0.581,9.1,1.5,4.3,2.7,19.9,0.63,0.11,0.53,6.2,123.8,113.1
147,Emmanuel Mudiay,Uta,G,24.6,3,11.3,23.5,22.0,6.3,2,0.5,11,0.273,3,0.667,0.429,0.43700000000000006,4.3,2.0,10.4,0.7,8.8,0.0,0.33,0.33,6.4,94.0,115.0
148,Jamal Murray,Den,G,23.63,19,39.6,82.6,27.6,11.6,78,0.897,231,0.537,137,0.45299999999999996,0.59,0.626,26.5,4.8,7.3,6.6,30.0,0.95,0.32,2.79,9.5,121.5,111.7
149,Dzanan Musa,Bro,G-F,21.43,3,13.1,27.4,21.1,14.9,14,0.7140000000000001,5,0.4,6,0.0,0.182,0.408,4.7,1.0,3.8,1.3,14.4,0.0,0.33,1.0,5.6,88.0,112.3
150,Mike Muscala,Okc,F-C,29.28,2,9.9,20.6,4.4,0.0,0,0.0,1,0.0,1,1.0,0.75,0.75,1.5,2.0,10.6,0.5,7.2,0.0,0.0,0.0,4.6,158.8,101.2
151,Abdel Nader,Okc,F,27.05,3,8.5,17.6,13.4,0.0,2,0.5,2,0.0,5,0.2,0.214,0.254,1.3,1.0,6.2,0.0,0.0,0.33,0.67,0.0,0.0,65.2,108.6
152,Raul Neto,Phi,G,28.4,2,12.9,26.9,16.9,10.0,0,0.0,4,0.25,5,0.4,0.444,0.444,4.0,1.5,6.2,1.5,20.2,0.5,0.0,0.5,6.4,95.7,113.7
153,Georges Niang,Uta,F,27.32,7,16.3,34.0,19.2,4.3,2,1.0,15,0.667,29,0.414,0.636,0.6459999999999999,8.3,2.1,7.7,0.6,5.6,0.0,0.14,0.29,5.4,127.7,107.8
154,Joakim Noah,Lac,F-C,35.63,2,1.0,2.0,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
155,Nerlens Noel,Okc,C-F,26.51,7,13.9,28.9,10.4,8.5,10,0.5,16,0.5,1,0.0,0.47100000000000003,0.491,3.0,4.1,15.6,0.4,4.6,0.29,0.71,0.29,4.9,106.8,93.0
156,Kendrick Nunn,Mia,G,25.19,15,15.9,33.2,20.4,11.2,8,1.0,49,0.49,43,0.27899999999999997,0.457,0.48200000000000004,6.1,2.1,7.7,1.3,13.3,0.2,0.2,0.8,6.4,94.5,105.4
157,Jusuf Nurkic,Por,C,26.14,5,32.3,67.2,20.7,16.2,23,0.7829999999999999,46,0.478,11,0.273,0.465,0.529,14.2,10.6,17.3,3.6,17.8,1.4,0.2,2.6,10.1,108.0,100.9
158,Semi Ojeleye,Bos,F,25.85,13,9.4,19.6,10.9,3.3,2,1.0,5,0.4,23,0.217,0.33899999999999997,0.364,1.6,0.9,5.5,0.1,1.1,0.23,0.0,0.08,2.2,81.8,105.5
159,Victor Oladipo,Ind,G,28.44,4,30.6,63.8,28.9,18.2,16,0.938,23,0.435,33,0.364,0.5,0.563,17.8,3.3,6.2,2.5,14.1,2.25,0.0,3.5,6.9,96.2,98.6
160,Kelly Olynyk,Mia,C,29.48,17,15.2,31.7,21.1,10.8,28,0.821,46,0.609,49,0.34700000000000003,0.563,0.606,7.6,4.6,17.6,1.1,12.2,0.24,0.47,0.76,8.9,116.6,96.2
161,Royce O'Neale,Uta,F,27.35,7,35.5,74.0,9.0,27.3,6,0.5,10,0.3,22,0.455,0.563,0.563,5.6,5.4,9.0,2.7,10.0,1.29,0.29,1.86,4.9,99.0,102.0
162,Miye Oni,Uta,G-F,23.19,2,7.0,14.6,23.4,14.3,0,0.0,2,1.0,4,0.25,0.583,0.583,3.5,2.0,16.7,0.0,0.0,0.5,0.5,0.5,0.0,108.1,94.9
163,Kyle O'Quinn,Phi,C-F,30.55,1,5.7,11.9,15.3,100.0,0,0.0,0,0.0,0,0.0,,,0.0,1.0,9.4,1.0,25.3,0.0,0.0,2.0,0.0,,57.1
164,Patrick Patterson,Lac,F,31.58,2,4.9,10.1,13.5,0.0,0,0.0,0,0.0,3,1.0,1.5,1.5,4.5,0.5,5.7,2.0,76.9,0.0,0.0,0.0,13.5,280.1,103.6
165,Chris Paul,Okc,G,35.44,7,37.3,77.7,24.2,15.7,26,0.885,69,0.565,43,0.37200000000000005,0.563,0.604,21.3,7.4,10.4,5.3,26.1,1.57,0.43,3.29,10.1,111.2,102.5
166,Norvel Pelle,Phi,F,27.69,1,6.5,13.5,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,108.4
167,Mason Plumlee,Den,F-C,30.61,19,10.9,22.6,12.2,19.9,12,0.667,38,0.5,1,0.0,0.48700000000000004,0.519,2.4,3.2,17.6,1.3,17.0,0.21,0.42,0.58,7.9,119.6,94.6
168,Vincent Poirier,Bos,C-F,26.96,1,1.8,3.8,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,1.0,70.4,1.0,0.0,0.0,0.0,,
169,Michael Porter Jr.,Den,F,22.29,19,23.7,49.5,20.6,12.2,35,0.743,75,0.5870000000000001,89,0.382,0.579,0.602,11.4,6.7,16.7,0.8,5.6,0.68,0.32,1.32,6.6,110.6,102.7
170,Kristaps Porzingis,Dal,F-C,25.2,3,31.5,65.6,24.2,5.6,23,0.87,23,0.522,17,0.529,0.638,0.708,23.7,8.7,15.0,0.7,3.3,0.0,1.0,1.0,6.7,137.8,104.3
171,Norman Powell,Tor,G,27.38,11,24.8,51.7,20.6,8.6,29,0.7929999999999999,52,0.5579999999999999,52,0.423,0.596,0.629,13.4,2.4,5.1,1.0,6.6,0.55,0.27,1.0,5.1,116.7,100.4
172,Josh Reaves,Dal,G-F,23.36,2,4.6,9.5,23.1,20.5,2,1.0,2,0.5,1,0.0,0.33299999999999996,0.515,2.0,1.0,12.0,0.5,14.6,0.0,0.5,0.5,8.7,95.8,103.2
173,Josh Richardson,Phi,G,27.07,4,36.1,75.1,21.7,11.1,18,0.9440000000000001,28,0.35700000000000004,28,0.35700000000000004,0.446,0.524,16.8,3.8,5.6,3.3,16.3,0.5,0.5,2.0,6.6,107.3,107.2
174,Austin Rivers,Hou,G,28.2,12,17.6,36.6,15.9,10.7,13,0.769,26,0.385,35,0.257,0.385,0.42700000000000005,4.8,2.5,7.9,1.3,11.1,0.58,0.08,0.67,5.7,90.9,103.1
175,Andre Roberson,Okc,G-F,28.86,1,3.4,7.1,12.7,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
176,Duncan Robinson,Mia,F,26.47,21,28.6,59.5,15.8,7.7,38,0.868,20,0.65,156,0.397,0.602,0.636,11.7,2.8,5.6,1.8,9.7,0.67,0.29,0.76,5.4,121.7,103.3
177,Rajon Rondo,Lal,G,34.64,16,24.7,51.5,18.0,20.8,19,0.684,71,0.493,50,0.4,0.537,0.5529999999999999,8.9,4.3,10.3,6.6,37.1,1.44,0.13,2.13,10.2,114.2,99.9
178,Terrence Ross,Orl,G-F,29.68,5,27.0,56.3,24.7,10.2,14,0.857,34,0.588,30,0.33299999999999996,0.547,0.584,16.4,4.4,8.4,1.0,6.7,0.8,0.2,1.6,6.2,105.8,101.8
179,JaKarr Sampson,Ind,F,27.56,4,12.5,25.9,16.6,11.1,0,0.0,16,0.625,0,0.0,0.625,0.625,5.0,3.3,15.3,1.0,14.4,0.5,0.0,0.5,8.1,115.6,86.7
180,Dennis Schroder,Okc,G,27.07,7,32.4,67.5,26.0,12.4,25,0.8,64,0.484,45,0.289,0.46299999999999997,0.504,17.3,3.7,6.0,3.6,19.7,0.57,0.14,2.43,7.6,97.8,106.5
181,Mike Scott,Phi,F,32.24,4,5.0,10.4,14.8,0.0,4,1.0,3,0.33299999999999996,2,0.0,0.2,0.444,1.5,2.0,21.6,0.3,7.8,0.0,0.0,0.0,7.7,119.8,100.7
182,Landry Shamet,Lac,G,23.58,13,18.7,39.0,13.5,17.3,7,0.7140000000000001,17,0.529,42,0.35700000000000004,0.534,0.5479999999999999,5.2,1.7,5.0,1.3,9.4,0.46,0.23,1.0,4.8,99.1,105.6
183,Pascal Siakam,Tor,F,26.53,11,38.0,79.2,23.6,9.8,46,0.7170000000000001,129,0.48100000000000004,53,0.18899999999999997,0.423,0.462,17.0,7.5,10.7,3.8,16.0,1.09,0.36,2.0,8.3,96.6,100.4
184,Anfernee Simons,Por,G,21.35,4,20.5,42.7,16.6,12.3,6,0.833,12,0.16699999999999998,14,0.429,0.423,0.47100000000000003,6.8,2.8,7.1,2.5,17.8,1.5,0.0,1.0,7.1,101.7,107.9
185,Marcus Smart,Bos,G,26.6,17,38.1,79.4,18.4,16.8,56,0.875,75,0.493,123,0.33299999999999996,0.49700000000000005,0.552,14.5,5.2,7.7,4.6,18.0,1.24,0.47,2.65,7.4,106.7,102.5
186,JR Smith,Lal,G,35.09,10,7.5,15.6,19.2,21.2,0,0.0,4,0.25,22,0.273,0.385,0.385,2.0,0.3,2.4,0.3,5.3,0.2,0.0,0.7,3.0,65.9,98.5
187,Edmond Sumner,Ind,G,24.78,3,13.5,28.1,11.2,20.2,2,1.0,4,0.5,3,0.0,0.28600000000000003,0.381,2.0,2.0,8.7,0.0,0.0,0.0,0.0,0.67,0.0,69.7,101.6
188,Jayson Tatum,Bos,F-G,22.61,17,40.6,84.6,28.2,11.0,123,0.813,208,0.47100000000000003,126,0.373,0.504,0.563,25.7,10.0,13.8,5.0,21.3,1.0,1.18,2.82,10.7,112.5,103.1
189,Garrett Temple,Bro,G-F,34.43,4,34.3,71.5,17.3,10.4,6,0.833,13,0.615,36,0.25,0.439,0.465,12.0,2.8,4.0,2.0,9.2,0.75,0.25,1.5,4.7,91.8,106.4
190,Daniel Theis,Bos,F,28.52,17,28.3,59.1,13.6,10.2,33,0.7879999999999999,91,0.626,26,0.154,0.5379999999999999,0.578,8.9,7.1,14.1,1.5,7.8,0.35,1.24,0.88,6.4,119.8,96.1
191,Lance Thomas,Bro,F,32.47,3,5.7,11.9,16.2,0.0,4,0.5,3,0.33299999999999996,2,0.0,0.2,0.29600000000000004,1.3,1.0,8.8,0.0,0.0,0.0,0.33,0.0,0.0,75.5,103.5
192,Matt Thomas,Tor,G,26.19,10,8.4,17.5,11.5,4.5,0,0.0,9,0.889,12,0.41700000000000004,0.738,0.738,3.1,1.4,9.0,0.7,12.9,0.1,0.1,0.1,6.9,145.5,102.5
193,Matisse Thybulle,Phi,G-F,23.61,4,18.9,39.3,5.2,22.2,0,0.0,3,0.667,4,0.25,0.5,0.5,1.8,1.8,5.0,0.5,4.1,0.75,0.25,0.5,2.5,90.6,105.8
194,Gary Trent Jr.,Por,G-F,21.73,5,30.6,63.7,14.5,9.4,7,0.857,21,0.28600000000000003,24,0.41700000000000004,0.467,0.499,9.6,2.0,3.4,0.6,2.9,0.8,0.0,1.0,3.0,100.9,111.2
195,P.J. Tucker,Hou,F,35.44,12,34.5,71.9,10.8,12.0,0,0.0,21,0.47600000000000003,67,0.373,0.54,0.54,7.9,7.2,11.6,1.4,6.0,1.08,0.25,1.0,5.0,111.3,101.7
196,Rayjon Tucker,Uta,G,23.05,2,5.6,11.6,25.3,16.7,0,0.0,2,0.5,3,0.33299999999999996,0.5,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,80.1,109.2
197,Myles Turner,Ind,C-F,24.55,4,36.4,75.8,19.0,15.0,16,0.43799999999999994,30,0.633,14,0.429,0.636,0.617,15.8,10.8,17.3,0.8,3.5,0.5,4.0,2.25,5.7,108.8,101.3
198,Fred VanVleet,Tor,G,26.63,11,39.1,81.4,22.9,9.9,25,0.84,80,0.413,110,0.391,0.513,0.537,19.6,4.4,6.0,6.9,28.4,1.64,0.64,2.0,8.6,112.0,103.3
199,Gabe Vincent,Mia,G,24.33,1,0.3,0.6,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
200,Noah Vonleh,Den,F,25.13,1,3.1,6.5,14.7,0.0,0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
201,Nikola Vucevic,Orl,C,29.97,5,36.9,77.0,29.8,10.1,11,0.909,67,0.5670000000000001,44,0.409,0.586,0.604,28.0,11.0,15.3,4.0,23.0,0.8,0.6,2.6,11.6,113.0,103.5
202,Dion Waiters,Lal,G,28.84,5,7.6,15.8,16.0,7.2,2,1.0,8,0.5,4,0.0,0.33299999999999996,0.38799999999999996,2.0,0.4,3.1,0.4,7.1,0.2,0.2,0.2,3.6,84.5,108.3
203,Kemba Walker,Bos,G,30.43,17,36.9,76.9,23.0,9.9,81,0.852,130,0.569,126,0.31,0.518,0.573,19.6,4.1,6.2,5.1,22.5,0.88,0.41,1.88,8.1,116.9,105.5
204,Brad Wanamaker,Bos,G,31.22,17,16.0,33.4,13.9,21.2,16,0.875,33,0.515,27,0.444,0.583,0.626,4.9,2.0,7.0,1.8,16.1,0.71,0.29,1.06,6.5,111.5,98.3
205,T.J. Warren,Ind,F,27.1,4,39.1,81.4,24.4,13.3,9,1.0,49,0.51,19,0.368,0.522,0.556,20.0,6.3,9.4,3.0,13.8,2.25,0.25,2.75,7.4,102.8,100.2
206,Tremont Waters,Bos,G,22.75,1,2.4,5.0,18.6,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.0,23.4,1.0,52.8,0.0,0.0,0.0,0.0,,
207,Paul Watson,Tor,G,25.78,2,4.4,9.1,10.1,0.0,0,0.0,2,0.5,0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,16.8,0.5,0.0,0.0,0.0,120.2,109.0
208,Russell Westbrook,Hou,G,31.91,8,32.7,68.2,31.5,16.3,32,0.531,107,0.47700000000000004,33,0.242,0.45,0.46399999999999997,17.9,7.0,11.9,4.6,25.8,1.5,0.25,3.75,10.2,90.6,103.0
209,Hassan Whiteside,Por,C,31.33,5,21.2,44.2,14.2,16.6,14,0.5,23,0.522,1,1.0,0.563,0.564,6.8,7.0,17.4,0.4,2.9,0.2,2.0,1.2,5.0,104.6,98.6
210,Robert Williams III,Bos,C-F,22.99,13,11.5,23.9,12.2,17.2,6,0.33299999999999996,30,0.767,1,0.0,0.742,0.713,3.7,3.9,19.2,0.8,10.6,0.23,0.46,0.54,7.9,136.1,97.1
211,Nigel Williams-Goss,Uta,G,26.07,1,2.4,5.0,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,1.0,50.9,0.0,0.0,0.0,0.0,,
212,Grant Williams,Bos,F,21.87,17,10.0,20.8,9.1,11.6,10,0.7,9,0.556,17,0.588,0.769,0.773,2.8,1.5,8.6,0.4,5.0,0.12,0.29,0.24,4.8,143.4,91.9
213,Lou Williams,Lac,G,33.96,13,26.2,54.7,23.5,11.5,37,0.8109999999999999,95,0.526,51,0.235,0.466,0.511,12.8,3.2,6.7,4.2,24.3,0.69,0.15,1.62,8.5,107.4,107.5
214,Marvin Williams,Mil,F,34.32,10,17.9,37.2,12.4,5.8,3,1.0,24,0.45799999999999996,23,0.435,0.5529999999999999,0.569,5.5,4.8,14.4,0.9,7.1,0.5,0.3,0.3,6.4,123.6,97.9
215,Delon Wright,Dal,G,28.46,4,13.3,27.7,13.9,29.1,5,0.6,8,0.625,2,0.5,0.65,0.6559999999999999,4.0,0.8,3.1,1.8,17.5,1.25,0.0,1.25,5.4,107.5,110.3
216,Ivica Zubac,Lac,C,23.57,13,24.6,51.3,14.5,11.3,37,0.8109999999999999,78,0.564,0,0.0,0.564,0.626,9.1,7.2,16.2,0.6,3.5,0.15,0.77,0.92,5.5,126.1,100.3
